2013-08-28 10:50:44 startup archives unpack
2013-08-28 10:50:44 install php5-cli:armhf <none> 5.4.4-14+deb7u2
2013-08-28 10:50:44 status half-installed php5-cli:armhf 5.4.4-14+deb7u2
2013-08-28 10:50:48 status unpacked php5-cli:armhf 5.4.4-14+deb7u2
2013-08-28 10:50:48 status unpacked php5-cli:armhf 5.4.4-14+deb7u2
2013-08-28 10:50:50 startup packages configure
2013-08-28 10:50:50 configure php5-cli:armhf 5.4.4-14+deb7u2 <none>
2013-08-28 10:50:50 status unpacked php5-cli:armhf 5.4.4-14+deb7u2
2013-08-28 10:50:50 status half-configured php5-cli:armhf 5.4.4-14+deb7u2
2013-08-28 10:51:01 status installed php5-cli:armhf 5.4.4-14+deb7u2
2013-12-02 01:22:44 startup archives unpack
2013-12-02 01:22:44 install cron:armhf <none> 3.0pl1-124
2013-12-02 01:22:44 status half-installed cron:armhf 3.0pl1-124
2013-12-02 01:22:46 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:22:46 status unpacked cron:armhf 3.0pl1-124
2013-12-02 01:22:46 install libcups2:armhf <none> 1.5.3-5+deb7u1
2013-12-02 01:22:46 status half-installed libcups2:armhf 1.5.3-5+deb7u1
2013-12-02 01:22:47 status unpacked libcups2:armhf 1.5.3-5+deb7u1
2013-12-02 01:22:47 status unpacked libcups2:armhf 1.5.3-5+deb7u1
2013-12-02 01:22:48 upgrade libnss-winbind:armhf 2:3.6.6-6 2:3.6.6-6+deb7u1
2013-12-02 01:22:48 status half-configured libnss-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:48 status unpacked libnss-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:48 status half-installed libnss-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:50 status half-installed libnss-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:50 status unpacked libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:50 status unpacked libnss-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:50 upgrade libpam-winbind:armhf 2:3.6.6-6 2:3.6.6-6+deb7u1
2013-12-02 01:22:50 status half-configured libpam-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:50 status unpacked libpam-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:50 status half-installed libpam-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:50 status half-installed libpam-winbind:armhf 2:3.6.6-6
2013-12-02 01:22:51 status unpacked libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:51 status unpacked libpam-winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:51 upgrade libwbclient0:armhf 2:3.6.6-6 2:3.6.6-6+deb7u1
2013-12-02 01:22:51 status half-configured libwbclient0:armhf 2:3.6.6-6
2013-12-02 01:22:52 status unpacked libwbclient0:armhf 2:3.6.6-6
2013-12-02 01:22:52 status half-installed libwbclient0:armhf 2:3.6.6-6
2013-12-02 01:22:52 status half-installed libwbclient0:armhf 2:3.6.6-6
2013-12-02 01:22:52 status unpacked libwbclient0:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:52 status unpacked libwbclient0:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:52 upgrade winbind:armhf 2:3.6.6-6 2:3.6.6-6+deb7u1
2013-12-02 01:22:52 status half-configured winbind:armhf 2:3.6.6-6
2013-12-02 01:22:52 status unpacked winbind:armhf 2:3.6.6-6
2013-12-02 01:22:52 status half-installed winbind:armhf 2:3.6.6-6
2013-12-02 01:22:57 status half-installed winbind:armhf 2:3.6.6-6
2013-12-02 01:22:57 status unpacked winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:57 status unpacked winbind:armhf 2:3.6.6-6+deb7u1
2013-12-02 01:22:57 upgrade samba-common:all 2:3.6.6-6 2:3.6.6-6+deb7u1
2013-12-02 01:22:57 status half-configured samba-common:all 2:3.6.6-6
2013-12-02 01:22:57 status unpacked samba-common:all 2:3.6.6-6
2013-12-02 01:22:57 status half-installed samba-common:all 2:3.6.6-6
2013-12-02 01:22:57 status half-installed samba-common:all 2:3.6.6-6
2013-12-02 01:22:57 status unpacked samba-common:all 2:3.6.6-6+deb7u1
2013-12-02 01:22:57 status unpacked samba-common:all 2:3.6.6-6+deb7u1
